sku;name;images;video;stock_a;stock_a_days;stock_b;stock_b_days;stock_c;stock_c_days;pvd_old;pvd;pvd_dif;pvr_old;pvr;pvr_dif;category
S64141421;Silla de Teca Natural Reclinable Regatta Tahiti BchLounger;https://www.bigbuy.eu/5290310/silla-de-teca-natural-reclinable-regatta-tahiti-bchlounger_1034677.jpg;-;8;1;0;5;8;1;-;14.46;0.00%;-;17.85;0.00%;Sillas reclinables
S64144841;Mochila Deportiva Orca NA;https://www.bigbuy.eu/5290316/mochila-deportiva-orca-na_1034679.jpg;-;1;1;0;5;1;1;-;15.73;0.00%;-;19.42;0.00%;Mochilas
S71018290;Caña de Pescar Zack 2,1 m;https://www.bigbuy.eu/6635391/cana-de-pescar-zack-2-1-m_1138225.jpg;-;15;1;0;5;15;1;-;26.06;0.00%;-;31.78;0.00%;Cañas de spincasting
S71015467;Cesta;https://www.bigbuy.eu/5807607/cesta_1138230.jpg;-;4;1;0;5;4;1;-;26.53;0.00%;-;32.35;0.00%;Bolsas para aparejos
S7171449;Hilo de Pesca MITCHELL 110 mm 0,15 mm 7,27 kg;https://www.bigbuy.eu/4099667/hilo-de-pesca-mitchell-110-mm-0-15-mm-7-27-kg_818287.jpg;-;5;1;0;5;5;1;-;26.62;0.00%;-;32.46;0.00%;Sedales trenzados
S7121411;Señuelos de agua salada Zack 53007;https://www.bigbuy.eu/5807668/senuelos-de-agua-salada-zack-53007_1138248.jpg;-;13;1;0;5;13;1;-;26.82;0.00%;-;32.71;0.00%;Señuelos de pesca en mar
S7189272;Herramienta 7 SEVEN BASS DESIGN;https://www.bigbuy.eu/4997605/herramienta-7-seven-bass-design_992789.jpg;-;9;1;0;5;9;1;-;30.1;0.00%;-;36.71;0.00%;Alicates y herramientas
S7189240;Motor de arranque 7 SEVEN BASS DESIGN;https://www.bigbuy.eu/4997427/motor-de-arranque-7-seven-bass-design_992759.jpg;-;6;1;0;5;6;1;-;30.47;0.00%;-;37.16;0.00%;Barcos de pesca
S71015509;Red de Pesca DUDULE;https://www.bigbuy.eu/6536584/red-de-pesca-dudule_1138227.jpg;-;7;1;0;5;7;1;-;30.49;0.00%;-;37.18;0.00%;Redes
S71018291;Caña de Pescar Zack 2,44 m;https://www.bigbuy.eu/5807673/cana-de-pescar-zack-2-44-m_1138250.jpg;-;9;1;0;5;9;1;-;31.76;0.00%;-;38.73;0.00%;Cañas de spincasting
S7171452;Hilo de Pesca MITCHELL 300 m 0,17 mm;https://www.bigbuy.eu/4099668/hilo-de-pesca-mitchell-300-m-0-17-mm_818288.jpg;-;3;1;0;5;3;1;-;31.82;0.00%;-;38.8;0.00%;Sedales trenzados
S7189273;Bobina de hilo 7 SEVEN BASS DESIGN;https://www.bigbuy.eu/4997490/bobina-de-hilo-7-seven-bass-design_992770.jpg;-;3;1;0;5;3;1;-;32.49;0.00%;-;39.62;0.00%;Accesorios para bobinar carretes
S7167930;Caña de Pescar Nautica 3,9 m;https://www.bigbuy.eu/7471921/cana-de-pescar-nautica-3-9-m_1140452.jpg;-;4;1;0;5;4;1;-;35.04;0.00%;-;42.73;0.00%;Cañas de spincasting
S7167921;Herramienta Nautica;https://www.bigbuy.eu/4997445/herramienta-nautica_992761.jpg;-;9;1;0;5;9;1;-;38.78;0.00%;-;45.62;0.00%;Alicates y herramientas
S7155762;Portacebo 7 SEVEN BASS DESIGN  HARD 36 RH Series 22,5 L 36 x 25 x 25 cm;https://www.bigbuy.eu/3689255/portacebo-7-seven-bass-design-hard-36-rh-series-22-5-l-36-x-25-x-25-cm_666989.jpg;-;9;1;0;5;9;1;-;50.47;0.00%;-;59.38;0.00%;Almacenamiento de cebos
S7188626;Caña de Pescar Nautica 4,20 m;https://www.bigbuy.eu/4998193/cana-de-pescar-nautica-4-20-m_666581.jpg;-;7;1;0;5;7;1;-;59.66;0.00%;-;67.8;0.00%;Cañas de spincasting
S7167424;Caja DUDULE 3 Compartimentos;https://www.bigbuy.eu/3727326/caja-dudule-3-compartimentos_666871.jpg;-;24;1;0;5;24;1;-;76.07;0.00%;-;86.44;0.00%;Cajas para aparejos
S7148054;Localizador de peces Deeper START;https://www.bigbuy.eu/3727119/localizador-de-peces-deeper-start_544146.jpg;-;7;1;0;5;7;1;-;106.78;0.00%;-;118.64;0.00%;Mapas de pesca
S7168320;Sonda Deeper ITGAM1080 Pesca;https://www.bigbuy.eu/3727332/sonda-deeper-itgam1080-pesca_666611.jpg;-;6;1;0;5;6;1;-;209.72;0.00%;-;230.46;0.00%;Sondas y contadores de metros
S7928687;Bobina de hilo Kali Kunnan Pesca;https://www.bigbuy.eu/6776054/bobina-de-hilo-kali-kunnan-pesca_1210814.jpg;-;0;1;0;5;0;1;-;2.37;0.00%;-;3.39;0.00%;Sedales monofilamento
S7928688;Bobina de hilo Kali Kunnan Pesca;https://www.bigbuy.eu/6776095/bobina-de-hilo-kali-kunnan-pesca_1210815.jpg;-;0;1;0;5;0;1;-;2.52;0.00%;-;3.6;0.00%;Sedales monofilamento
S91121141;Hilo de Pesca Shimano CATSPG15020;https://www.bigbuy.eu/6248829/hilo-de-pesca-shimano-catspg15020_1194927.jpg;-;0;1;0;5;0;1;-;2.97;0.00%;-;3.71;0.00%;Sedales
S7928686;Flotador Kali Kunnan;https://www.bigbuy.eu/6801328/flotador-kali-kunnan_1211078.jpg;-;0;1;0;5;0;1;-;3.0;0.00%;-;4.29;0.00%;Corchos, flotadores y anzuelos
S7928691;Cable Kali Kunnan;https://www.bigbuy.eu/6754614/cable-kali-kunnan_1209979.jpg;-;0;1;0;5;0;1;-;3.26;0.00%;-;4.66;0.00%;Cables de acero
S2417137;Flotador de corcho Safari Sub (150 x 6,5 cm);https://www.bigbuy.eu/3900851/flotador-de-corcho-safari-sub-150-x-6-5-cm_353244.jpg;-;0;1;0;5;0;1;-;3.51;0.00%;-;5.01;0.00%;Corchos, flotadores y anzuelos
S91121140;Hilo de Pesca Shimano LDM54TE1819015G;https://www.bigbuy.eu/6250077/hilo-de-pesca-shimano-ldm54te1819015g_1194874.jpg;-;0;1;0;5;0;1;-;6.59;0.00%;-;8.04;0.00%;Sedales trenzados
S91121139;Hilo de Pesca Shimano LDM54TE0606015M;https://www.bigbuy.eu/6249312/hilo-de-pesca-shimano-ldm54te0606015m_1194943.jpg;-;0;1;0;5;0;1;-;6.72;0.00%;-;8.2;0.00%;Sedales trenzados
S7928707;Caja de Almacenaje Kali Kunnan;https://www.bigbuy.eu/7353911/caja-de-almacenaje-kali-kunnan_1236637.jpg;-;0;1;0;5;0;1;-;8.01;0.00%;-;10.01;0.00%;Cajas para aparejos
S7928673;Caña de Pescar Kali Kunnan kali blade 180;https://www.bigbuy.eu/6743023/cana-de-pescar-kali-kunnan-kali-blade-180_1209914.jpg;-;0;1;0;5;0;1;-;8.92;0.00%;-;11.15;0.00%;Cañas de arrastre
S7928676;Carrete Herculy lift 120;https://www.bigbuy.eu/6683595/carrete-herculy-lift-120_1207274.jpg;-;0;1;0;5;0;1;-;9.4;0.00%;-;11.75;0.00%;Carretes de pesca de lanzado
S7928677;Carrete Herculy lift 140;https://www.bigbuy.eu/6683565/carrete-herculy-lift-140_1207265.jpg;-;0;1;0;5;0;1;-;10.86;0.00%;-;13.58;0.00%;Carretes de pesca de lanzado
S7928678;Carrete Herculy lift 150;https://www.bigbuy.eu/6683555/carrete-herculy-lift-150_1207261.jpg;-;0;1;0;5;0;1;-;11.73;0.00%;-;14.66;0.00%;Carretes de pesca de lanzado
S7928674;Caña de Pescar Kali Kunnan kali blade 240;https://www.bigbuy.eu/6747845/cana-de-pescar-kali-kunnan-kali-blade-240_1209915.jpg;-;0;1;0;5;0;1;-;11.84;0.00%;-;14.8;0.00%;Cañas de arrastre
S91121142;Hilo de Pesca Shimano 59WPLA58R01;https://www.bigbuy.eu/6249891/hilo-de-pesca-shimano-59wpla58r01_1194935.jpg;-;0;1;0;5;0;1;-;12.2;0.00%;-;14.88;0.00%;Sedales trenzados
S91121143;Hilo de Pesca Shimano 59WPLA58R02;https://www.bigbuy.eu/6249892/hilo-de-pesca-shimano-59wpla58r02_1194944.jpg;-;0;1;0;5;0;1;-;12.2;0.00%;-;14.88;0.00%;Sedales trenzados
S7924873;Chaleco de Trabajo para Hombre JUBA Fisherman;https://www.bigbuy.eu/4795482/chaleco-de-trabajo-para-hombre-juba-fisherman_956682.jpg;-;0;1;0;5;0;1;14.66;14.66;0.00%;-;17.45;0.00%;Chalecos
S7928675;Caña de Pescar Kali Kunnan kali moana 300/4;https://www.bigbuy.eu/6743022/cana-de-pescar-kali-kunnan-kali-moana-300-4_1209913.jpg;-;0;1;0;5;0;1;-;15.41;0.00%;-;18.35;0.00%;Cañas de arrastre
S71015510;Red de Pesca DUDULE;https://www.bigbuy.eu/5807597/red-de-pesca-dudule_1138226.jpg;-;0;1;0;5;0;1;-;24.74;0.00%;-;30.17;0.00%;Redes
S91121137;Caña de Pescar Shimano 5COH12466;https://www.bigbuy.eu/6248236/cana-de-pescar-shimano-5coh12466_1194940.jpg;-;0;1;0;5;0;1;-;33.21;0.00%;-;39.07;0.00%;Cañas de arrastre
S91121138;Caña de Pescar Shimano 5COH12566;https://www.bigbuy.eu/6248145/cana-de-pescar-shimano-5coh12566_1194936.jpg;-;0;1;0;5;0;1;-;33.21;0.00%;-;39.07;0.00%;Cañas de arrastre
S7188400;Caña de Pescar Nautica;https://www.bigbuy.eu/6206615/cana-de-pescar-nautica_666576.jpg;-;0;1;0;5;0;1;-;55.07;0.00%;-;62.58;0.00%;Cañas de spincasting
S91121125;Carrete Shimano AEROXRC5000;https://www.bigbuy.eu/6248111/carrete-shimano-aeroxrc5000_1194934.jpg;-;0;1;0;5;0;1;-;114.61;0.00%;-;125.95;0.00%;Carretes de pesca de lanzado
S91121132;Carrete Shimano SPM14000XTD;https://www.bigbuy.eu/6248231/carrete-shimano-spm14000xtd_1194938.jpg;-;0;1;0;5;0;1;-;128.4;0.00%;-;141.1;0.00%;Carretes de pesca de lanzado
S91121131;Carrete Shimano VF2500A;https://www.bigbuy.eu/6248242/carrete-shimano-vf2500a_1194942.jpg;-;0;1;0;5;0;1;-;168.74;0.00%;-;185.43;0.00%;Carretes de pesca de lanzado
S91121130;Carrete Shimano TPC3000FE;https://www.bigbuy.eu/6248050/carrete-shimano-tpc3000fe_1194926.jpg;-;0;1;0;5;0;1;-;340.9;0.00%;-;370.54;0.00%;Carretes de pesca de lanzado
